id, Blood_Bank_Name, State, District, City,Pincode, Mobile, Email,Name, Qualification , Category, Blood_Component_Available, Apheresis, Service_Time, Date_License_Obtained, Latitude, Longitude
1178,Shri Radheswami Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474009,9826501162,NULL,Dr. B. K. Singhal,MD (Pathology),Private,NO,NO,NULL,11-11-1998,26.195391,78.158556
1179,Emergency Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474009,9893417222,a_sao@hotmail.com,Dr. Satya Sao,MD (Pathology),Private,YES,NO,24x7,26-07-1975,26.191025,78.155889
1180,Captain OS Dewan Memorial Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1181,Cancer Hospital and Research Centre Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1182,Radhaswami Blood Bank Services,Madhya Pradesh,GWALIOR,Gwalior,474001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1183,Shri Guruji Raktkosh Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1184,Birla Institute of Medical Research Blood Bank,Madhya Pradesh,GWALIOR,Gwalior,474006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1185,District Hospital Blood Bank,Madhya Pradesh,HARDA,Harda,461331,9425981771,NULL,Dr. Ruby Khan,"MBBS, DCP",Government,NO,NO,24x7,07-05-2012,22.340634,77.093043
1186,District Hospital Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,461001,9425041911,bloodbankhbad@gmail.com,Dr. Dinesh Yadav,MD (Pathology),Government,NO,NO,24x7,28-04-1998,22.452716,77.430707
1187,Society of Saint Joseph Hospital Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,461001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1188,Harit Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,461001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1189,Shreya Blood Bank,Madhya Pradesh,HOSHANGABAD,Hoshangabad,461001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1190,Civil Hospital Itarsi Blood Bank,Madhya Pradesh,HOSHANGABAD,Itarsi,461111,9425041911,NULL,Dr. Dinesh Yadav,MD (Pathology),Government,NO,NO,24x7,21-06-1905,22.361975,77.451276
1191,Lahoti Medicare Private Limited Blood Bank,Madhya Pradesh,INDORE, Indore ,NULL,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
1192,MY Hospital & MGM Medical College - State of ART Model Blood Bank ,Madhya Pradesh,INDORE,Indore,452001,9893273236,modelbloodbankmyh@gmail.com,Dr. Ashok Yadav ,MD (Pathology),Government,YES,YES,24x7,18-06-1905,22.714476,75.882875
1193,Modern Blood Bank,Madhya Pradesh,INDORE,Indore,453441,9826064696,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1194,Allied Pathology Laboratory and Blood Bank,Madhya Pradesh,INDORE,Indore,452010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1195,CHL Apollo Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1196,Suyash Blood Bank,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1197,Mohit Blood Bank Services,Madhya Pradesh,INDORE,Indore,452010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1198,Lions Club of Indore Blood Bank,Madhya Pradesh,INDORE,Indore,452002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1199,MP Thalassmia Welfare Society Blood Bank,Madhya Pradesh,INDORE,Indore,452008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1200,Shubham Pathological Diagnostic Centre Blood Bank,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1201,Life Line Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1202,Qurewell Blood Bank of Care Well Hospital Private Limited,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1203,Noble Pathology Labs Blood Bank,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1204,Shri Satya Sai Blood Bank,Madhya Pradesh,INDORE,Indore,452016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1205,Shri Indore Cloth Market Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1206,Vishnu Prabha Diagnostic Centre Blood Bank,Madhya Pradesh,INDORE,Indore,452001,"09827030999, 09827351240",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1207,Choitram Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,452014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
1208,Vishesh Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.7187135,75.8882735
1209,Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank,Madhya Pradesh,INDORE,Indore,452009,9993172869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.691901,75.866108
1210,Gokuldas Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452001,9826077557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.716411,75.8760433
1211,SNG Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452001,9826379533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.720246,75.8817
1212,Index Medical College Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,462008,9752538454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.732016,75.888857
1213,Arihant Hospital and Research Centre Blood Bank,Madhya Pradesh,INDORE,Indore,452009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.701662,75.829585
1214,Aruvindo Blood Banks SAIMS Hospital,Madhya Pradesh,INDORE,Indore,453555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.796953,75.845156
1215,Bombay Hospital Trust Blood Bank,Madhya Pradesh,INDORE,Indore,452010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.71957,75.857726
1216,Greater Kailash Hospitals Private Limited Blood Bank,Madhya Pradesh,INDORE,Indore,452018,9977220606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.72527,75.889633
1217,Sanghvi Blood Bank,Madhya Pradesh,INDORE,Indore,452001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.7166872,75.8739793
1218,Verma Union Hospital Blood Bank,Madhya Pradesh,INDORE,Indore,452002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.71209,75.838098
1219,NSCB Medical College Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,482003,8989821487,transfusionmedicinejbp@gmail.com,Dr. L. K. Patel,MD (Pathology),Government,YES,YES,24x7,01-01-2013,23.149881,79.881151
1220,Rani Durgawati Hospital Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,482001,9826319646,NULL,NULL,NULL,NULL,NULL,NULL,24x7,NULL,23.100428,79.565702
1221,District Victoria Hospital Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,482002,9424957288,NULL,Dr. Nikhil Dubey,MD(Pathology),Government,NO,YES,24x7,31-03-1997,23.172743,79.936409
1222,Bansal Blood Bank and Transfusion Service,Madhya Pradesh,JABALPUR,Jabalpur,482002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.164273,79.929699
1223,Jabalpur Thalesemia Society Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,482002,9301338741,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.169545,79.932327
1224,Khanna Pathology Lab and Blood Bank,Madhya Pradesh,JABALPUR,Jabalpur,482002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.1708138,79.9304742
1225,Military Hospital Blood Bank ,Madhya Pradesh,JABALPUR,Jabalpur,482001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.1496957,79.9530199
1226,Jabalpur Blood Bank & Pathology Lab,Madhya Pradesh,JABALPUR,Jabalpur,NULL,NULL,NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,0,0
1227,District Hospital,Madhya Pradesh,JHABUA,Jhabua,457661,9826175322,NULL,DR. R.G Koushal,MBBS. M D,Government,NO,NULL,24X7,01-01-2013,22.773068,74.591422
1228,Jivan Jyoti Hospital Blood Bank,Madhya Pradesh,JHABUA,Meghnagar,457779,9425945142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.913396,74.53969
1229,District Hospital Blood Bank,Madhya Pradesh,KATNI,Katni,483501,9425183356,NULL,Dr. Sudha NULLmdev,MD (Pathology),Government,NO,NO,24x7,28-10-2005,23.832575,80.39196
1230,District Hospital Blood Bank,Madhya Pradesh,KHARGONE,Khargone,451001,9425496084,NULL,Dr. Ratnesh Mahajan ,NULL,Government,NO,NULL,24x7,NULL,21.831932,75.628611
1231,District Hospital Blood Bank Mandla,Madhya Pradesh,MANDLA,Mandla,481661,9425163929,bloodbank_mandla@rediffmail.com,Dr. Gourav Jetly,"MBBS, M.S.",Government,NO,NO,24x7,13-02-1997,22.596278,80.370388
1232,District Hospital Blood Bank,Madhya Pradesh,MANDSAUR,Mandsaur,458001,9407101767,bbdhmds@gmail.com,Dr. Saurabh Mandwaria,"MBBS, DCP",Government,NO,NO,24x7,19-06-1905,24.069241,75.071826
1233,Jain Pathology Laboratory and Blood Bank,Madhya Pradesh,MANDSAUR,Mandsaur,458001,9827070408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.5550033,75.1727662
1234,District Hospital Blood Bank,Madhya Pradesh,MOREna,Morena,476001,9826246293,bloodbankmoreNULL@gmail.com,Dr. Rakesh Upadhyaya,MD (Pathology),Government,NO,NO,24x7,07-06-1997,26.496004,77.998665
1235,Jindal Blood Bank,Madhya Pradesh,MOREna,Morena,476001,9425126999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.7048053,78.2265252
1236,District Hospital narsinghpur Blood Bank ,Madhya Pradesh,naRSINGHPUR,narsinghpur,487001,9407304896,NULL,Dr. Rakesh Sagariya,MD (Pathology),Government,NO,NO,24x7,24-02-1997,22.565735,79.110807
1237,Indian Red Cross Society (IRCS) Blood Bank,Madhya Pradesh,NEEMUCH,Neemuch,458441,9406612591,redcrossbbnmh@gmail.com,Dr. D. S. Choudhary,MD (Pathology),Government,NO,NO,24x7,01-01-2005,24.460273,74.874825
1238,District Hospital Blood Bank,Madhya Pradesh,PANna,Panna,488001,9424350011,NULL,NULL,"MBBS, DCP ",NULL,NULL,NULL,24x7,NULL,24.712076,80.181218
1239,District Hospital Blood Bank,Madhya Pradesh,RAISEN,Raisen,464551,9425652351,NULL,NULL,NULL,NULL,NULL,NULL,24x7,NULL,23.333493,77.78043
1240,District Hospital Blood Bank,Madhya Pradesh,RAJGARH,Rajgarh,465661,9179375278,csurgeonrajmp@mp.nic.in,Dr. P. K. Jain,MD (Pathology),Government,NO,NO,24x7,27-06-2003,24.00976,76.732073
1241,District Hospital Blood Bank,Madhya Pradesh,RATLAM,Ratlam,457001,"07879154365, 09827232032",bloodbankrtm@gmail.com,Dr. Shailendra Solanki,MD (Pathology),Government,NO,YES,24x7,19-09-1997,23.327397,75.038845
1242,Manav Seva Samiti Blood Bank,Madhya Pradesh,RATLAM,Ratlam,457001,9039494095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.3266577,75.039959
1243,S. S. Medical College Blood Bank,Madhya Pradesh,REWA,Rewa,486001,"09827583242, 09755461008",NULL,Dr. Santosh Singh,MD (Pathology),Government,YES,NO,24x7,20-12-1996,24.531793,81.299794
1244,District Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,470001,9827245793,bloodbankndhsagar@gmail.com,Dr. R. K. Dixit,MD (Pathology),Government,NO,NO,24x7,21-12-1994,23.492157,78.451821
1245,Bhagyoday Tirth Hospital Blood Bank,Madhya Pradesh,SAGAR,Sagar,470002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.851061,78.722466
1246,Sadguru Blood Bank Chitrakoot,Madhya Pradesh,SATna,Chitrakoot,485001,9935207959,slabs@sadgurutrust.org,Dr. ABS Rajput,"MBBS, DCP",Private,NO,NO,24x7,01-07-2009,25.095043,80.515971
1247,District Hospital Blood Bank,Madhya Pradesh,SATna,Satna,485001,9893738846,NULL,NULL,NULL,NULL,NULL,NULL,24x7,NULL,24.567945,80.832069
1248,MP Birla Hospital and Priyamvada Birla Cancer Research Institute Blood Bank,Madhya Pradesh,SATna,Satna,485005,"08224003814, 08224003804",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.585065,80.85646
1249,District Hospital Blood Bank,Madhya Pradesh,SEHORE,Sehore,466001,9425650196,NULL,Dr. P. S. Armo,MD (Pathology),Government,NO,NO,24x7,01-11-2001,23.198387,77.081271
1250,District Hospital Blood Bank Seoni,Madhya Pradesh,SEONI,Seoni,480661,9827267407,bbseoni@gmail.com,S.N.Gupta LT,MD (Pathology),Government,NO,NO,24x7,01-02-1997,22.054391,79.330324
1251,Burhar Central Hospital of South Eastern Coal Fields Limited Blood Bank,Madhya Pradesh,SHAHDOL,Dhanpuri,484114,9425890427,NULL,Dr. Sangita Tiwari,MD (Pathology),Government,NO,NO,24x7,30-09-2006,23.185907,81.571377
1252,District Hospital Blood Bank,Madhya Pradesh,SHAHDOL,Shahdol,484001,9424646797,bloodbankshahdol@gmail.com,Dr. Shilpi Sharaf,"MBBS, DCP",Government,NO,NO,24x7,20-12-1996,23.30792,81.352897
1253,Murlidhar Kripa Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Maxi,465106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.2506645,76.1374297
1254,District Hospital Blood Bank,Madhya Pradesh,SHAJAPUR,Shajapur,465001,9425034695,NULL,Dr. S. D. Jaiswal,MD (Pathology),Government,NO,NO,24x7,16-08-2002,23.421106,76.274685
1255,District hospital sheopur,Madhya Pradesh,SHEOPUR,SHEOPUR,476337,"8,82,30,78,60,50,88,23,00,00,00,00,00,00,00,000",samvidakarmchari.she@gmail.com,Dr. Rambabu Goyal,"MBBS, DCP",Government,NO,NO,24x7,NULL,25.676067,76.711645
1256,District Hospital Blood Bank,Madhya Pradesh,SHIVPURI,Shivpuri,473551,9406570709,csurgeonshimp@nic.in,Dr. Chandra Mohan Gupta,MD (Medicine) ,Government,NO,NO,24x7,14-08-1997,25.25408,77.39027
1257,District Hospital Blood Bank,Madhya Pradesh,SIDHI,Sidhi,486661,9584919194,civilsurgeonsidhi@gmail.com,Dr. Rupesh verma,MD (pathology) ,Government,NO,NO,24x7,15-10-2013,24.413386,81.88065
1258,Nehru Jan shatabdi Chikitsalaya Blood Bank ,Madhya Pradesh,SINGRAULI,Jayant,486661,9406711454,NULL,Dr. S. K. Gupta,MD (Pathology),Government,NO,NO,24x7,27-01-2006,24.06319,82.383071
1259,Red Cross Blood Bank,Madhya Pradesh,SINGRAULI,Singrauli,486885,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.0925456,82.6559943
1260,District Hospital Blood Bank,Madhya Pradesh,TIKAMGARH,Tikamgarh,472001,9926750416,NULL,Dr. Vikas Jain,MD (Pathology),Government,NO,NO,24x7,19-07-2002,24.452408,78.500693
1261,Grassim Hospital and Blood Bank,Madhya Pradesh,UJJAIN,nagda,456001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.4465681,75.407488
1262,District Hospital Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,456006,9424892191,bloodbankujjain2015@gmail.com,Dr. C. S. Bhargava,"MBBS, DCP",Government,NO,NO,24x7,18-06-1905,23.105277,75.463821
1263,Puspha Mission Hospital and Maternity Home Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,456001,9425380020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.168295,75.795961
1264,Ujjain Charitable Trust Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,456001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.192897,75.776423
1265,CR Gardi Hospital and RD Blood Bank,Madhya Pradesh,UJJAIN,Ujjain,456006,9630625611,rdgmc_@sancharnet.in,Dr. P. L. Dhand,MD (Pathology),Private,YES,NO,24x7,22-06-2010,23.233015,75.811619
1266,District Hospital Blood Bank,Madhya Pradesh,UMARIA,Umaria,484661,9827079695,bloodbankumr@gmail.com,Dr. S. R. KaNULLskar,"MBBS, DCP",Government,NO,NO,24x7,16-11-2010,23.571113,80.390813
1267,District Hospital Blood Bank,Madhya Pradesh,VIDISHA,Vidisha,466001,9926472551,NULL,Dr. Pradeep Gupta,"MBBS, DMC",Government,NO,NO,24x7,31-01-1997,23.520189,77.808353
1268,Civil Surgeon General Hospital Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,414001,9552898779,bloodbankcha37@gmail.com,Dr.Shingare Madam,"MBBS, DCP",Government,YES,NO,24 Hours,08-06-1989,19.108046,74.73557
1269,Sanjeevani Blood Bank Kopargaon,Maharashtra,AHMEDNAGAR,Ahmednagar,423601,7588567384,NULL,Dr. B. S. Dhakane,MBBS,Charity,NO,NO,24x7,31-08-2000,19.88042,74.470873
1270,Rotary Blood Bank - Rahuri Charitable Trust,Maharashtra,AHMEDNAGAR,Ahmednagar,413705,9421329802,NULL,Dr. Ashish Uttamrao Patil,MBBS,Charity,NO,NULL,24 Hours,13-07-1994,19.419633,74.65553
1271,Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,422605,9822324340,NULLndkishor@arpanbloodbank.org,Dr. PooNULLm Nighute,"MBBS, MD (Pathologist)",Charity,YES,NULL,24x7,01-02-2009,19.569309,74.206528
1272,Jankalyan Blood Bank nalegaon,Maharashtra,AHMEDNAGAR,Ahmednagar,414001,9028088589,jankalyanbloodbankNULLgar@rediffmail.com,Mr. Mukesh Sathaye,"M. Com, MPM",Charity,YES,YES,24 Hours,09-04-1998,18.501067,73.857499
1273,Pravara Medical Trust Blood Bank - Pravara Rural Hospital and Medical Dental College Loni (BK),Maharashtra,AHMEDNAGAR,Ahmednagar,413736,9823206964,NULL,Dr. Pramod Pargaonkar,MD (Pathalogist),Charity,YES,NULL,24 Hours,01-01-2008,19.578952,74.456127
1274,Jondhale&#39;s Nitya Seva Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,413709,8888008686,jnbb.orj@gmail.com,Dr. Om Rajaram Jondhale,MBBS,Charity,YES,NULL,24x7,13-12-1978,19.6227,74.660399
1275,Shri Sainath Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,423109,9822596036,NULL,Dr. Maithilee Yashodhan Pitambare ,MBBS,Charity,YES,YES,24 Hours,06-09-2000,19.763137,74.47058
1276,"Padmashri Dr. Vithalrao Vikhe Patil Foundation, Ahmednagar Medical College Hospital Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,414111,9881573633,NULL,Dr. SadhaNULL Khaparde,MD (Pathalogist),Charity,YES,NULL,24 Hours,03-06-2011,19.181403,74.689625
1277,Shrirampur Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,413709,"09850547747, 09623016083 ",NULL,NULL,NULL,Private,NULL,NULL,NULL,NULL,19.619247,74.663502
1278,Anand Rushiji Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,414001,9049673565,NULL,Dr. Mukund Tandale,MD (Pathalogist),Charity,YES,NULL,24 Hours,23-02-2011,19.080688,74.732289
1279,"Jeevanraj Charitable Foundation,s Ahmednagar Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,414001,9225570262,NULL,Dr. Dharmesh Gandhi,"MBBS, MD (Patholagy)",Charity,YES,NULL,24 Hours,04-06-2011,19.082959,74.760389
1280,nandkishor Education Society - Arpan Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,414001,9822324340,"NULLndkishor@arpanbloodbank.org,",Dr. NULLrendra Patil,"MBBS, MD (Micro)",Charity,YES,YES,24 Hours,23-08-2011,20.004874,73.787165
1281,"Poonam Janjagruti Sanstha Sanchit, Ashtavinayak Blood Bank",Maharashtra,AHMEDNAGAR,Ahmednagar,414003,NULL,ashtaviNULLyakbloodbank@gmail.com,Dr. Patankar Shailendra Ashok,MBBS,Charity,YES,YES,24 Hours,31-03-2012,19.117005,74.735872
1282,Ahmednagar Municipal Council Blood Bank,Maharashtra,AHMEDNAGAR,Ahmednagar,NULL,NULL,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,0,0
1283,Civil Surgeon General Hospital Blood Bank,Maharashtra,AKOLA,Akola,444001,9767111950,bloodbankgmcakola@gmail.com,Dr. Smita Chim,MBBS,Government,YES,NULL,24x7,03-04-1989,20.702666,77.001984
1284,District Hospital for Women Blood Bank,Maharashtra,AKOLA,Akola,444001,"09422862490, 09730907515, 09422955523",dhw_akola@rediffmail.com,Dr. DhaNULLnjay Chimankar ,MBBS,Government,NO,NO,24x7,NULL,20.714492,77.008904
1285,Dr. Vivek Pimpalkar Blood Bank,Maharashtra,AKOLA,Akola,444101,"09423848910, 09850650044",NULL,Dr. Bhaskar V. Bhinge,NULL,Private,NO,NO,24x7,01-02-1995,21.106181,77.072925
1286,Shriram Blood Bank,Maharashtra,AKOLA,Akola,444005,9823071925,NULL,Dr. P. S. Aher ,"MD, DCP",Private,NO,NO,24x7,01-01-2012,21.106181,77.072925
1287,Akola Diagnostic Centre Blood Bank and Component Lab,Maharashtra,AKOLA,Akola,444001,9823048379,akoladiagnostic@rediffmail.com,Dr. K. K. Agarwal ,"MBBS, DMR",Charity,YES,NULL,24x7,13-03-2013,20.70644,77.011207
1288,Dr. Mankar Memorial Blood Bank,Maharashtra,AKOLA,Akola,444001,"09823243771, 09422162787",NULL,Dr. Pandurang .S. Toshniwal ,"MBBS, DCP",Charity,NO,NO,24x7,19-09-2011,20.724952,77.04278
1289,Dr. Hedgewar Blood Bank,Maharashtra,AKOLA,Akola,444005,"09422862482, 09423125215",NULL,Dr. Sameer Deshmukh / Dr Kshitija Marathe  ,MBBS,Charity,YES,NULL,24x7,NULL,21.140578,79.060506
1290,ICON Blood Bank - Ganediwal Charitable Trust,Maharashtra,AKOLA,Akola,444 001,NULL,icoNULLkola@rediffmail.com,"Dr. Yogesh Bhatiwal, ",NULL,Charity,YES,NULL,24x7,12-05-2011,20.713446,77.011958
1291,Sai Jeewan Blood Bank,Maharashtra,AKOLA,Akola,NULL,NULL,NULL,NULL,NULL,Charity,NULL,NULL,NULL,NULL,0,0
1292,District General Hospital Blood Bank Amravati,Maharashtra,AMRAVATI,Amravati,444601,7385331819,cs_amravati@rediffmail.com,Dr. Vilas Jadhav,MD (Pathology),Government,YES,YES,24 Hours,01-01-2012,20.93386,77.760815
1293,Shri Balaji Blood Bank & component lab Amravati,Maharashtra,AMRAVATI,Amravati,444601,"09422155201, 09823045532","drckdara@yahoo.com,",Dr. C. K. Dara ,MBBS (Trained in Transfusion Medicine - TATA HOSP.),Charity,YES,YES,24x7,25-03-2014,20.928177,77.756362
1294,Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,AMRAVATI,Amravati,440603,9766325831,sandippatil@gmail.com,"Dr. J. P. Laddha, Dr. A. A. Tayde",MBBS,Charity,YES,YES,24x7,01-01-2013,20.923,77.816645
1295,Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,AMRAVATI,Amravati,444701,9422915633,sopanblood@gmail.com,Dr. Anil M Kavimandan,NULL,Charity,YES,NO,24x7,06-01-2010,20.794116,77.709547
1296,Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,AMRAVATI,Amravati,444805,9403621600,rsburma@yahoo.co.in,Dr. Pramod M. Shete  ,MBBS,Charity,NO,NO,24x7,29-04-2011,21.298921,77.518316
1297,Regional Blood Bank Government Medical College and Hospital,Maharashtra,AURANGABAD,Aurangabad,431001,9890281663,bbgmchabad@gmail.com,Dr. Jaiswal,"MBBS, MD (Pathology)",Government,YES,NULL,24 hrs,24-10-1990,19.890542,75.317164
1298,Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431003,9371012383,drcpbhale@rediffmail.com,Dr. C. P. Bhale ,MD (Pathology),Charity,YES,YES,24x7,13-07-2007,19.877896,75.354519
1299,Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,AURANGABAD,Aurangabad,431005,9822435509,mahendrasingh-chauhan@hedgewar.org,Dr.Mahendrasingh H. Chauhan (M.D.Path),MD (Pathology),Charity,YES,YES,24 hrs,20-12-2001,19.876165,75.343313
1300,Lokmanya Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431005,9370527120,adm.lokmanya@gmail.com,Dr. Fouzia Siddiqui ,MD (Pathology),Charity,YES,NO,24x7,01-01-2014,19.872123,75.323251
1301,Seth nandlal Dhoot Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431210,9225334164, bloodbank@dhoothospital.com,Dr. ApraNULL Kulkarni,MBBS,Charity,YES,YES,24x7,26-04-1999,19.872742,75.387668
1302,Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431001,9860078075,NULLndkishor@arpanbloodbank.org,Dr. Prakash Patni ,"MBBS, MD (Pathology)",Charity,YES,NO,24x7,02-05-2012,19.875504,75.352445
1303,Amruta Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431001,"08087527390, 09404471720, 09850410343, 08380073333",amrutabloodbank@gmail.com,Dr. A. P. Choudhari,"MBBS, DCP",Charity,YES,NO,24x7,14-08-2012,19.855842,75.338268
1304,Aurangabad Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431001,9922650892,aurangabadbloodbank@gmail.com,Dr. Wanole ,DCP,Charity,YES,NO,24x7,15-06-2013,19.873384,75.344972
1305,Lions Blood Bank,Maharashtra,AURANGABAD,Aurangabad,431005,8275092594,lionsbloodbank0708@gmail.com,Dr. Sheetal Patil ,"MBBS, DPB",Charity,YES,YES,24x7,10-08-2013,19.87244,75.323188
1306,Civil Surgeon General Hospital Blood Bank,Maharashtra,BEED,Beed,431122,9822541028,bloodbankbeed@rediffmail.com,Dr. M. R. Jadhav ,MD (Pathology),Government,YES,NULL,24x7,30-06-1992,18.986918,75.75332
1307,Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,BEED,Beed,431517,9422467018,srtrgmcbb@gmail.com,Dr. Rahul Dake,MBBS,Government,YES,NO,24x7,07-11-2013,18.731377,76.370902
1308,Vaidynath Blood Bank,Maharashtra,BEED,Beed,431515,9422242419,NULL,Dr. Suryakant Mundhe,MBBS,Charity,NO,NO,24x7,03-08-2011,18.842659,76.535058
